rooms,area_m2,price,floor,total_floor,is_new_building,place
2,110,1500,9,18,1,28 May m.
2,105,750,5,16,1,Nəriman Nərimanov m.
3,100,800,12,16,1,Həzi Aslanov q.
2,65,700,14,16,1,Dərnəgül m.
3,100,1100,16,27,1,8 Noyabr m.
2,70,700,16,18,1,Qara Qarayev m.
2,60,950,10,14,1,Şah İsmayıl Xətai m.
2,80,1000,7,16,1,28 May m.
3,140,1200,5,14,1,Şah İsmayıl Xətai m.
2,85,1500,2,5,0,Sahil m.
2,65,650,13,16,1,İnşaatçılar m.
2,60,600,5,9,0,Memar Əcəmi m.
2,75,1300,5,7,0,Şah İsmayıl Xətai m.
2,68,1000,9,21,1,Şah İsmayıl Xətai m.
2,100,1000,12,18,1,28 May m.
5,162,1100,19,21,1,8 Noyabr m.
1,62,500,6,18,1,Qara Qarayev m.
2,90,760,7,12,1,Koroğlu m.
3,100,1800,5,6,0,Ağ şəhər q.
3,80,500,5,9,0,Xalqlar Dostluğu m.
4,140,899,2,16,1,Qara Qarayev m.
2,50,600,4,11,1,İnşaatçılar m.
2,55,500,5,5,0,Memar Əcəmi m.
2,50,600,4,11,1,İnşaatçılar m.
3,120,900,13,19,1,Yasamal r.
3,65,549,1,12,1,Həzi Aslanov q.
2,51,450,9,15,1,Xırdalan
4,170,1400,3,16,1,Nəriman Nərimanov m.
3,125,645,2,16,1,Xətai r.
3,133,1500,8,13,1,Nərimanov r.
2,60,900,7,14,1,Nərimanov r.
2,100,1500,6,8,0,Ağ şəhər q.
3,80,850,8,9,0,İnşaatçılar m.
2,65,599,4,9,0,İnşaatçılar m.
2,65,650,15,18,1,20 Yanvar m.
2,60,599,4,11,1,İnşaatçılar m.
3,130,2000,11,17,1,Nəriman Nərimanov m.
3,110,1500,15,16,1,28 May m.
2,80,900,9,16,1,Şah İsmayıl Xətai m.
3,80,849,4,5,0,Şah İsmayıl Xətai m.
3,130,1500,8,19,1,Şah İsmayıl Xətai m.
3,160,1300,23,24,1,Şah İsmayıl Xətai m.
4,220,4300,9,18,1,Elmlər Akademiyası m.
2,90,900,8,15,1,8 Noyabr m.
2,65,600,11,16,1,Qara Qarayev m.
3,135,2500,4,8,0,Ağ şəhər q.
2,90,750,11,16,1,Nəriman Nərimanov m.
3,125,3000,9,20,1,Ağ şəhər q.
2,50,600,4,11,1,Yeni Yasamal q.
4,200,2000,9,18,1,Nizami m.
2,84,550,9,12,1,Sumqayıt
4,205,3000,8,12,1,İçəri Şəhər m.
4,180,2500,7,10,1,Sahil m.
2,75,699,5,18,1,Nəriman Nərimanov m.
2,50,699,2,3,0,Nizami m.
2,65,700,12,18,1,28 May m.
3,105,1200,8,16,1,Şah İsmayıl Xətai m.
3,110,1700,15,20,1,Elmlər Akademiyası m.
3,150,3600,10,22,1,Səbail r.
3,120,850,5,17,1,Həzi Aslanov m.
3,150,1650,9,16,1,Gənclik m.
3,135,2500,2,8,0,Ağ şəhər q.
3,149,1600,21,27,1,8 Noyabr m.
3,130,2199,9,20,1,28 May m.
2,50,600,4,11,1,İnşaatçılar m.
3,70,1400,16,16,1,28 May m.
2,50,1300,5,6,0,Ağ şəhər q.
2,70,600,10,15,1,Həzi Aslanov m.
2,54,650,11,17,1,İnşaatçılar m.
2,50,600,18,19,1,20 Yanvar m.
4,110,700,2,5,0,Həzi Aslanov m.
2,100,700,14,17,1,Həzi Aslanov m.
2,108,1400,16,20,1,28 May m.
2,60,700,1,3,0,İçəri Şəhər m.
3,120,1150,13,21,1,Şah İsmayıl Xətai m.
3,55,450,4,4,0,Xırdalan
2,55,350,2,6,0,Masazır q.
5,280,3000,1,18,1,28 May m.
3,150,800,17,17,1,İnşaatçılar m.
2,80,1900,10,14,1,Nərimanov r.
2,40,500,9,17,1,Xırdalan
3,110,650,18,18,1,Memar Əcəmi m.
2,75,1800,10,14,1,Nəriman Nərimanov m.
2,57,550,8,18,1,Memar Əcəmi m.
2,52,600,4,20,1,İnşaatçılar m.
3,130,2500,8,17,1,Şah İsmayıl Xətai m.
3,100,900,10,18,1,Memar Əcəmi m.
3,90,750,3,4,0,Şah İsmayıl Xətai m.
3,120,1200,8,16,1,Şah İsmayıl Xətai m.
5,160,2500,2,5,0,Nizami m.
