location,rooms,area_m2,price,url
"Elan №5693052 - Bakı, 28 May m., 2 otaqlı, 110 m², 9/18 mərtəbə",2,110,1500,https://bina.az/items/5693052
"Elan №5742161 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 105 m², 5/16 mərtəbə",2,105,750,https://bina.az/items/5742161
"Elan №5767988 - Bakı, Həzi Aslanov q., 3 otaqlı, 100 m², 12/16 mərtəbə",3,100,800,https://bina.az/items/5767988
"Elan №5767986 - Bakı, Dərnəgül m., 2 otaqlı, 65 m², 14/16 mərtəbə",2,65,700,https://bina.az/items/5767986
"Elan №5767946 - Bakı, 8 Noyabr m., 3 otaqlı, 100 m², 16/27 mərtəbə",3,100,1100,https://bina.az/items/5767946
"Elan №5720648 - Bakı, Qara Qarayev m., 2 otaqlı, 70 m², 16/18 mərtəbə",2,70,700,https://bina.az/items/5720648
"Elan №5680877 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 60 m², 10/14 mərtəbə",2,60,950,https://bina.az/items/5680877
"Elan №5767981 - Bakı, 28 May m., 2 otaqlı, 80 m², 7/16 mərtəbə",2,80,1000,https://bina.az/items/5767981
"Elan №5752185 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 140 m², 5/14 mərtəbə",3,140,1200,https://bina.az/items/5752185
"Elan №5693561 - Bakı, Sahil m., 2 otaqlı, 85 m², 2/5 mərtəbə",2,85,1500,https://bina.az/items/5693561
"Elan №5767980 - Bakı, İnşaatçılar m., 2 otaqlı, 65 m², 13/16 mərtəbə",2,65,650,https://bina.az/items/5767980
"Elan №5767978 - Bakı, Memar Əcəmi m., 2 otaqlı, 60 m², 5/9 mərtəbə",2,60,600,https://bina.az/items/5767978
"Elan №5314289 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 75 m², 5/7 mərtəbə",2,75,1300,https://bina.az/items/5314289
"Elan №5767975 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 68 m², 9/21 mərtəbə",2,68,1000,https://bina.az/items/5767975
"Elan №5694511 - Bakı, 28 May m., 2 otaqlı, 100 m², 12/18 mərtəbə",2,100,1000,https://bina.az/items/5694511
"Elan №5764441 - Bakı, 8 Noyabr m., 5 otaqlı, 162 m², 19/21 mərtəbə",5,162,1100,https://bina.az/items/5764441
